epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,257.265,1.12317,1.07654,0.9512,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00168122,0.00168122,0.00168122
163,258.549,1.05916,1.19609,0.97029,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00167924,0.00167924,0.00167924
164,259.818,1.07284,1.16133,0.95925,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00167726,0.00167726,0.00167726
165,261.273,1.10746,1.10831,0.93502,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00167528,0.00167528,0.00167528
166,262.902,1.07967,1.11406,0.96108,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.0016733,0.0016733,0.0016733
167,265.311,1.20273,1.14344,0.98076,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00167132,0.00167132,0.00167132
168,267.739,1.07613,1.12218,0.9167,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00166934,0.00166934,0.00166934
169,269.127,1.19224,1.20493,0.99073,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00166736,0.00166736,0.00166736
170,270.522,1.0472,1.20758,0.9602,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00166538,0.00166538,0.00166538
171,271.822,1.11671,1.08897,0.942,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.0016634,0.0016634,0.0016634
172,273.096,1.06262,1.19371,0.96917,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00166142,0.00166142,0.00166142
173,274.414,1.08036,1.42777,0.99714,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00165944,0.00165944,0.00165944
174,275.746,0.94955,1.63614,0.98296,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00165746,0.00165746,0.00165746
175,277.413,1.06631,1.13837,0.94425,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00165548,0.00165548,0.00165548
176,279.521,1.04485,1.13051,0.92178,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.0016535,0.0016535,0.0016535
177,281.276,1.07378,1.06139,0.94524,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00165152,0.00165152,0.00165152
178,282.74,1.05179,1.07388,0.95721,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00164954,0.00164954,0.00164954
179,284.066,0.99758,1.05567,0.9148,0.76857,0.64865,0.74464,0.44202,1.32752,1.12593,1.05141,0.00164756,0.00164756,0.00164756
